

🇨🇳🇨🇳家的味道🇨🇳🇨🇳,#genre#
CCTV-1HD,http://122.189.195.142:888/udp/228.0.0.1:6108
CCTV-2HD,http://122.189.195.142:888/udp/228.0.0.2:6108
CCTV-3HD,http://122.189.195.142:888/udp/228.0.0.156:7156
CCTV-4HD,http://122.189.195.142:888/udp/228.0.0.143:7143
CCTV-5HD,http://122.189.195.142:888/udp/228.0.0.112:6108
CCTV-6HD,http://122.189.195.142:888/udp/228.0.0.157:7157
CCTV-7HD,http://122.189.195.142:888/udp/228.0.0.7:6108
CCTV-8HD,http://122.189.195.142:888/udp/228.0.0.158:7158
CCTV-9HD,http://122.189.195.142:888/udp/228.0.0.9:6108
CCTV-10HD,http://122.189.195.142:888/udp/228.0.0.10:6108
CCTV-11HD,http://122.189.195.142:888/udp/228.0.0.242:6108
CCTV-12HD,http://122.189.195.142:888/udp/228.0.0.12:6108
CCTV-13HD,http://122.189.195.142:888/udp/228.0.0.202:6108
CCTV-14HD,http://122.189.195.142:888/udp/228.0.0.14:6108
CCTV-15,http://122.189.195.142:888/udp/228.0.0.15:6108
CCTV-16HD,http://122.189.195.142:888/udp/228.0.0.249:6108
CCTV-17HD,http://122.189.195.142:888/udp/228.0.0.161:7161
CCTV5＋HD,http://122.189.195.142:888/udp/228.0.0.17:6108
CHC家庭影院,http://122.189.195.142:888/udp/228.0.0.211:6108
CHC动作电影,http://122.189.195.142:888/udp/228.0.0.212:6108
CHC高清电影,http://122.189.195.142:888/udp/228.0.0.233:6108





🇨🇳🇨🇳卫视IPV6🇨🇳🇨🇳,#genre#


湖北卫视HD,http://122.189.195.142:888/udp/228.0.0.60:6108
湖北卫视,http://122.189.195.142:888/udp/228.0.0.232:6108
湖南卫视HD,http://122.189.195.142:888/udp/228.0.0.61:6108
浙江卫视HD,http://122.189.195.142:888/udp/228.0.0.65:6108
江苏卫视HD,http://122.189.195.142:888/udp/228.0.0.64:6108
东方卫视HD,http://122.189.195.142:888/udp/228.0.0.62:6108
北京卫视HD,http://122.189.195.142:888/udp/228.0.0.63:6108
广东卫视HD,http://122.189.195.142:888/udp/228.0.0.66:6108
深圳卫视HD,http://122.189.195.142:888/udp/228.0.0.67:6108
黑龙江卫视HD,http://122.189.195.142:888/udp/228.0.0.68:6108
天津卫视HD,http://122.189.195.142:888/udp/228.0.0.120:6108
山东卫视HD,http://122.189.195.142:888/udp/228.0.0.121:6108
安徽卫视HD,http://122.189.195.142:888/udp/228.0.0.122:6108
辽宁卫视HD,http://122.189.195.142:888/udp/228.0.0.123:6108
东南卫视HD,http://122.189.195.142:888/udp/228.0.0.144:7144
江西卫视HD,http://122.189.195.142:888/udp/228.0.0.147:7147
重庆卫视HD,http://122.189.195.142:888/udp/228.0.0.159:7159
贵州卫视HD,http://122.189.195.142:888/udp/228.0.0.160:7160
宁夏卫视,http://122.189.195.142:888/udp/228.0.0.30:6108
广西卫视,http://122.189.195.142:888/udp/228.0.0.37:6108
海南卫视HD,http://122.189.195.142:888/udp/228.0.0.165:7165
河南卫视HD,http://122.189.195.142:888/udp/228.0.0.230:6108
四川卫视HD,http://122.189.195.142:888/udp/228.0.0.231:6108
吉林卫视,http://122.189.195.142:888/udp/228.0.0.45:6108
山西卫视,http://122.189.195.142:888/udp/228.0.0.47:6108
云南卫视,http://122.189.195.142:888/udp/228.0.0.48:6108
西藏卫视,http://122.189.195.142:888/udp/228.0.0.51:6108
内蒙古卫视,http://122.189.195.142:888/udp/228.0.0.52:6108
新疆卫视,http://122.189.195.142:888/udp/228.0.0.53:6108
青海卫视,http://122.189.195.142:888/udp/228.0.0.54:6108
河北卫视HD,http://122.189.195.142:888/udp/228.0.0.168:7168
陕西卫视,http://122.189.195.142:888/udp/228.0.0.56:6108
甘肃卫视,http://122.189.195.142:888/udp/228.0.0.57:6108





🐉🐉湖北频道🐉🐉,#genre#


湖北综合HD,http://122.189.195.142:888/udp/228.0.0.126:6108
湖北经视HD,http://122.189.195.142:888/udp/228.0.0.125:6108
湖北公共HD,http://122.189.195.142:888/udp/228.0.0.124:6108
湖北影视HD,http://122.189.195.142:888/udp/228.0.0.205:6108
湖北教育HD,http://122.189.195.142:888/udp/228.0.0.206:6108
湖北生活HD,http://122.189.195.142:888/udp/228.0.0.204:6108
湖北垄上HD,http://122.189.195.142:888/udp/228.0.0.127:6108




🐉🐉武汉频道🐉🐉,#genre#



武汉新闻HD,http://122.189.195.142:888/udp/228.0.0.162:7162
武汉电视剧HD,http://122.189.195.142:888/udp/228.0.0.163:7163
武汉生活HD,http://122.189.195.142:888/udp/228.0.0.89:6108
武汉经济,http://122.189.195.142:888/udp/228.0.0.131:5131
武汉文体HD,http://122.189.195.142:888/udp/228.0.0.164:7164
武汉外语,http://122.189.195.142:888/udp/228.0.0.133:5133
武汉少儿,http://122.189.195.142:888/udp/228.0.0.134:5134
武汉教育,http://122.189.195.142:888/udp/228.0.0.136:5136




🇭🇰港澳台频道IPV6🇭🇰,#genre#

凤凰中文,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰资讯,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰香港,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701phk72.m3u8







其他,#genre#



卡酷动画,http://122.189.195.142:888/udp/228.0.0.58:6108
金鹰卡通,http://122.189.195.142:888/udp/228.0.0.59:6108
金鹰纪实HD,http://122.189.195.142:888/udp/228.0.0.145:7145
中国教育-1HD,http://122.189.195.142:888/udp/228.0.0.146:7146
三沙卫视,http://122.189.195.142:888/udp/228.0.0.174:7174
中国教育4,http://122.189.195.142:888/udp/228.0.0.177:7177
CCTV-1,http://122.189.195.142:888/udp/228.0.0.167:7167
CCTV-2,http://122.189.195.142:888/udp/228.0.0.213:6108
CCTV-3,http://122.189.195.142:888/udp/228.0.0.214:6108
CCTV-4,http://122.189.195.142:888/udp/228.0.0.215:6108
CCTV-5,http://122.189.195.142:888/udp/228.0.0.5:6108
CCTV-6,http://122.189.195.142:888/udp/228.0.0.217:6108
CCTV-7,http://122.189.195.142:888/udp/228.0.0.218:6108
CCTV-8,http://122.189.195.142:888/udp/228.0.0.219:6108
CCTV-9,http://122.189.195.142:888/udp/228.0.0.220:6108
CCTV-10,http://122.189.195.142:888/udp/228.0.0.221:6108
CCTV-11,http://122.189.195.142:888/udp/228.0.0.222:6108
CCTV-12,http://122.189.195.142:888/udp/228.0.0.223:6108
CCTV-13,http://122.189.195.142:888/udp/228.0.0.13:6108
宜昌综合HD,http://122.189.195.142:888/udp/228.0.0.225:6108
宜昌旅游HD,http://122.189.195.142:888/udp/228.0.0.226:6108
恩施综合,http://122.189.195.142:888/udp/228.0.0.228:6108
恩施文旅,http://122.189.195.142:888/udp/228.0.0.229:6108
孝感新闻,http://122.189.195.142:888/udp/228.0.0.107:6108
孝感生活,http://122.189.195.142:888/udp/228.0.0.108:6108
随州综合,http://122.189.195.142:888/udp/228.0.0.110:6108
随州农村,http://122.189.195.142:888/udp/228.0.0.111:6108
CETV2,http://122.189.195.142:888/udp/228.0.0.198:7198
环球奇观,http://122.189.195.142:888/udp/228.0.0.73:6108
国学频道,http://122.189.195.142:888/udp/228.0.0.75:6108
游戏竞技,http://122.189.195.142:888/udp/228.0.0.78:6108
靓妆,http://122.189.195.142:888/udp/228.0.0.86:6108
财富天下,http://122.189.195.142:888/udp/228.0.0.88:6108
房县新闻,http://122.189.195.142:888/udp/228.0.0.31:6108
快乐垂钓,http://122.189.195.142:888/udp/228.0.0.203:6108

茶频道,http://122.189.195.142:888/udp/228.0.0.234:6108
第一剧场,http://122.189.195.142:888/udp/228.0.0.235:6108
风云足球,http://122.189.195.142:888/udp/228.0.0.236:6108
怀旧剧场,http://122.189.195.142:888/udp/228.0.0.237:6108
老故事,http://122.189.195.142:888/udp/228.0.0.238:6108
网络棋牌,http://122.189.195.142:888/udp/228.0.0.239:6108
新动漫,http://122.189.195.142:888/udp/228.0.0.240:6108
先锋乒羽,http://122.189.195.142:888/udp/228.0.0.241:6108
CCTV-NEWS,http://122.189.195.142:888/udp/228.0.0.16:6108
广通购物,http://122.189.195.142:888/udp/228.0.0.135:5135
