

🇨🇳🇨🇳家的味道🇨🇳🇨🇳,#genre#
南宁新闻,http://171.105.180.74:4022/udp/239.81.0.241:4056
南宁新闻,http://171.105.180.74:4022/udp/239.81.0.126:4056
南宁公共,http://171.105.180.74:4022/udp/239.81.0.129:4056
南宁都市,http://171.105.180.74:4022/udp/239.81.0.127:4056
柳州新闻,http://171.105.180.74:4022/udp/239.81.0.134:4056
北海新闻,http://171.105.180.74:4022/udp/239.81.0.136:4056
玉林新闻,http://171.105.180.74:4022/udp/239.81.0.138:4056
贺州新闻,http://171.105.180.74:4022/udp/239.81.0.137:4056
桂林新闻,http://171.105.180.74:4022/udp/239.81.0.135:4056



凤凰中文,http://171.213.129.142:5555/udp/239.93.0.162:2192
凤凰中文,http://171.213.129.142:5555/udp/239.93.1.9:2192
凤凰资讯,http://171.213.129.142:5555/udp/239.93.0.118:2191
凤凰资讯,http://171.213.129.142:5555/udp/239.93.1.4:2191
星空,http://171.213.129.142:5555/udp/239.93.0.156:2193
星空,http://171.213.129.142:5555/udp/239.93.1.10:2193
CHANNEL-V,http://171.213.129.142:5555/udp/239.93.0.157:2194
CHANNEL-V,http://171.213.129.142:5555/udp/239.93.1.7:2194

凤凰中文,http://121.205.69.190:8848/rtp/239.61.2.183:9086

凤凰资讯,http://121.205.69.190:8848/rtp/239.61.2.184:9092


凤凰中文,https://k44991.kylintv.tv/live/pxna_iphone.m3u8
凤凰资讯,https://k44991.kylintv.tv/live/pxinhd_iphone.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8


凤凰中文,https://k44991.kylintv.tv/live/pxna_iphone.m3u8
凤凰资讯,https://k44991.kylintv.tv/live/pxinhd_iphone.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8



深圳卫视,http://171.105.180.74:4022/udp/239.81.0.103:4056
深圳卫视,http://171.105.180.74:4022/udp/239.81.0.57:4056
湖南卫视,http://171.105.180.74:4022/udp/239.81.0.110:4056
湖南卫视,http://171.105.180.74:4022/udp/239.81.0.40:4056
河南卫视,http://171.105.180.74:4022/udp/239.81.0.44:4056














🇨🇳🇨🇳央视IPV6🇨🇳🇨🇳,#genre#



CCTV1,http://171.105.180.74:4022/udp/239.81.0.102:4056
CCTV1,http://171.105.180.74:4022/udp/239.81.0.13:4056
CCTV2,http://171.105.180.74:4022/udp/239.81.0.115:4056
CCTV2,http://171.105.180.74:4022/udp/239.81.0.14:4056
CCTV3,http://171.105.180.74:4022/udp/239.81.0.231:4056
CCTV4,http://171.105.180.74:4022/udp/239.81.0.96:4056
CCTV4,http://171.105.180.74:4022/udp/239.81.0.16:4056
CCTV5,http://171.105.180.74:4022/udp/239.81.0.232:4056
CCTV6,http://171.105.180.74:4022/udp/239.81.0.233:4056
CCTV7,http://171.105.180.74:4022/udp/239.81.0.116:4056
CCTV7,http://171.105.180.74:4022/udp/239.81.0.19:4056
CCTV8,http://171.105.180.74:4022/udp/239.81.0.234:4056
CCTV9,http://171.105.180.74:4022/udp/239.81.0.117:4056
CCTV9,http://171.105.180.74:4022/udp/239.81.0.21:4056
CCTV10,http://171.105.180.74:4022/udp/239.81.0.118:4056
CCTV10,http://171.105.180.74:4022/udp/239.81.0.22:4056
CCTV11,http://171.105.180.74:4022/udp/239.81.0.229:4056
CCTV11,http://171.105.180.74:4022/udp/239.81.0.23:4056
CCTV12,http://171.105.180.74:4022/udp/239.81.0.119:4056
CCTV12,http://171.105.180.74:4022/udp/239.81.0.24:4056
CCTV13,http://171.105.180.74:4022/udp/239.81.0.26:4056
CCTV13,http://171.105.180.74:4022/udp/239.81.0.206:4056
CCTV14,http://171.105.180.74:4022/udp/239.81.0.120:4056
CCTV14,http://171.105.180.74:4022/udp/239.81.0.25:4056
CCTV15,http://171.105.180.74:4022/udp/239.81.0.230:4056
CCTV15,http://171.105.180.74:4022/udp/239.81.0.27:4056
CGTN,http://171.105.180.74:4022/udp/239.81.0.28:4056
CCTV17,http://171.105.180.74:4022/udp/239.81.0.228:4056
CCTV17,http://171.105.180.74:4022/udp/239.81.0.227:4056
CCTV5＋,http://171.105.180.74:4022/udp/239.81.0.101:4056

CCTV中学生,http://171.105.180.74:4022/udp/239.81.0.87:4056
CETV1,http://171.105.180.74:4022/udp/239.81.0.92:4056
CETV1,http://171.105.180.74:4022/udp/239.81.0.52:4056
CETV2,http://171.105.180.74:4022/udp/239.81.0.245:4056
CETV4,http://171.105.180.74:4022/udp/239.81.0.246:4056





🇨🇳🇨🇳卫视IPV6🇨🇳🇨🇳,#genre#




北京卫视,http://171.105.180.74:4022/udp/239.81.0.109:4056
北京卫视,http://171.105.180.74:4022/udp/239.81.0.30:4056
天津卫视,http://171.105.180.74:4022/udp/239.81.0.113:4056
天津卫视,http://171.105.180.74:4022/udp/239.81.0.50:4056
东方卫视,http://171.105.180.74:4022/udp/239.81.0.111:4056
东方卫视,http://171.105.180.74:4022/udp/239.81.0.29:4056
东方财经,http://171.105.180.74:4022/udp/239.81.0.76:4056
重庆卫视,http://171.105.180.74:4022/udp/239.81.0.47:4056
浙江卫视,http://171.105.180.74:4022/udp/239.81.0.108:4056
浙江卫视,http://171.105.180.74:4022/udp/239.81.0.31:4056
安徽卫视,http://171.105.180.74:4022/udp/239.81.0.211:4056
安徽卫视,http://171.105.180.74:4022/udp/239.81.0.37:4056
江苏卫视,http://171.105.180.74:4022/udp/239.81.0.106:4056
江苏卫视,http://171.105.180.74:4022/udp/239.81.0.34:4056
山东卫视,http://171.105.180.74:4022/udp/239.81.0.114:4056
山东卫视,http://171.105.180.74:4022/udp/239.81.0.39:4056
山东教育卫视,http://171.105.180.74:4022/udp/239.81.0.93:4056
辽宁卫视,http://171.105.180.74:4022/udp/239.81.0.210:4056
辽宁卫视,http://171.105.180.74:4022/udp/239.81.0.35:4056
吉林卫视,http://171.105.180.74:4022/udp/239.81.0.58:4056
黑龙江卫视,http://171.105.180.74:4022/udp/239.81.0.105:4056
黑龙江卫视,http://171.105.180.74:4022/udp/239.81.0.33:4056
内蒙古卫视,http://171.105.180.74:4022/udp/239.81.0.54:4056
宁夏卫视,http://171.105.180.74:4022/udp/239.81.0.60:4056
甘肃卫视,http://171.105.180.74:4022/udp/239.81.0.207:4056
青海卫视,http://171.105.180.74:4022/udp/239.81.0.53:4056
新疆卫视,http://171.105.180.74:4022/udp/239.81.0.46:4056
兵团卫视,http://171.105.180.74:4022/udp/239.81.0.213:4056
西藏卫视,http://171.105.180.74:4022/udp/239.81.0.55:4056
云南卫视,http://171.105.180.74:4022/udp/239.81.0.45:4056
四川卫视,http://171.105.180.74:4022/udp/239.81.0.130:4056
四川卫视,http://171.105.180.74:4022/udp/239.81.0.43:4056
贵州卫视,http://171.105.180.74:4022/udp/239.81.0.95:4056
贵州卫视,http://171.105.180.74:4022/udp/239.81.0.56:4056
海南卫视,http://171.105.180.74:4022/udp/239.81.0.48:4056
三沙卫视,http://171.105.180.74:4022/udp/239.81.0.242:4056
广东卫视,http://171.105.180.74:4022/udp/239.81.0.104:4056
广东卫视,http://171.105.180.74:4022/udp/239.81.0.36:4056
南方卫视,http://171.105.180.74:4022/udp/239.81.0.32:4056
深圳卫视,http://171.105.180.74:4022/udp/239.81.0.103:4056
深圳卫视,http://171.105.180.74:4022/udp/239.81.0.57:4056
湖南卫视,http://171.105.180.74:4022/udp/239.81.0.110:4056
湖南卫视,http://171.105.180.74:4022/udp/239.81.0.40:4056
湖北卫视,http://171.105.180.74:4022/udp/239.81.0.112:4056
湖北卫视,http://171.105.180.74:4022/udp/239.81.0.41:4056
陕西卫视,http://171.105.180.74:4022/udp/239.81.0.89:4056
山西卫视,http://171.105.180.74:4022/udp/239.81.0.49:4056
河南卫视,http://171.105.180.74:4022/udp/239.81.0.44:4056
河北卫视,http://171.105.180.74:4022/udp/239.81.0.94:4056
河北卫视,http://171.105.180.74:4022/udp/239.81.0.51:4056
江西卫视,http://171.105.180.74:4022/udp/239.81.0.204:4056
江西卫视,http://171.105.180.74:4022/udp/239.81.0.38:4056
东南卫视,http://171.105.180.74:4022/udp/239.81.0.215:4056
东南卫视,http://171.105.180.74:4022/udp/239.81.0.59:4056
厦门卫视,http://171.105.180.74:4022/udp/239.81.0.212:4056
嘉佳卡通,http://171.105.180.74:4022/udp/239.81.0.64:4056
卡酷动画,http://171.105.180.74:4022/udp/239.81.0.62:4056
金鹰卡通,http://171.105.180.74:4022/udp/239.81.0.61:4056
新动漫,http://171.105.180.74:4022/udp/239.81.0.235:4056
少儿动画,http://171.105.180.74:4022/udp/239.81.0.82:4056
动漫秀场,http://171.105.180.74:4022/udp/239.81.0.68:4056
全纪实,http://171.105.180.74:4022/udp/239.81.0.78:4056
求索,http://171.105.180.74:4022/udp/239.81.0.202:4056



🐉🐉广西频道🐉🐉,#genre#

广西卫视,http://171.105.180.74:4022/udp/239.81.0.107:4056
广西综艺,http://171.105.180.74:4022/udp/239.81.0.214:4056
广西影视,http://171.105.180.74:4022/udp/239.81.0.250:4056
广西新闻,http://171.105.180.74:4022/udp/239.81.0.248:4056
广西公共,http://171.105.180.74:4022/udp/239.81.0.249:4056
广西都市,http://171.105.180.74:4022/udp/239.81.0.247:4056
广西卫视,http://171.105.180.74:4022/udp/239.81.0.2:4056
广西综艺,http://171.105.180.74:4022/udp/239.81.0.3:4056
广西都市,http://171.105.180.74:4022/udp/239.81.0.4:4056
广西新闻,http://171.105.180.74:4022/udp/239.81.0.5:4056
广西公共,http://171.105.180.74:4022/udp/239.81.0.6:4056
广西影视,http://171.105.180.74:4022/udp/239.81.0.7:4056
广西国际,http://171.105.180.74:4022/udp/239.81.0.8:4056
广西乐思购,http://171.105.180.74:4022/udp/239.81.0.9:4056
广西移动电视,http://171.105.180.74:4022/udp/239.81.0.10:4056
广西科教,http://171.105.180.74:4022/udp/239.81.0.11:4056
南宁影视,http://171.105.180.74:4022/udp/239.81.0.128:4056
南宁新闻,http://171.105.180.74:4022/udp/239.81.0.241:4056
南宁新闻,http://171.105.180.74:4022/udp/239.81.0.126:4056
南宁公共,http://171.105.180.74:4022/udp/239.81.0.129:4056
南宁都市,http://171.105.180.74:4022/udp/239.81.0.127:4056
柳州新闻,http://171.105.180.74:4022/udp/239.81.0.134:4056
北海新闻,http://171.105.180.74:4022/udp/239.81.0.136:4056
玉林新闻,http://171.105.180.74:4022/udp/239.81.0.138:4056
贺州新闻,http://171.105.180.74:4022/udp/239.81.0.137:4056
桂林新闻,http://171.105.180.74:4022/udp/239.81.0.135:4056
爱上4K,http://171.105.180.74:4022/udp/239.81.0.123:4056
经典电影,http://171.105.180.74:4022/udp/239.81.0.84:4056
热播剧场,http://171.105.180.74:4022/udp/239.81.0.85:4056
都市剧场,http://171.105.180.74:4022/udp/239.81.0.81:4056
生活时尚,http://171.105.180.74:4022/udp/239.81.0.75:4056
魅力时尚,http://171.105.180.74:4022/udp/239.81.0.83:4056
七彩戏剧,http://171.105.180.74:4022/udp/239.81.0.70:4056
法治天地,http://171.105.180.74:4022/udp/239.81.0.79:4056
金色频道,http://171.105.180.74:4022/udp/239.81.0.80:4056
广西IPTV4,http://171.105.180.74:4022/udp/239.81.0.251:4056
广西IPTV5,http://171.105.180.74:4022/udp/239.81.0.205:4056
广西IPTV7,http://171.105.180.74:4022/udp/239.81.0.253:4056
广西IPTV8,http://171.105.180.74:4022/udp/239.81.0.208:4056
广西IPTV9,http://171.105.180.74:4022/udp/239.81.0.209:4056
广西IPTV影院,http://171.105.180.74:4022/udp/239.81.0.100:4056
广西IPTV12,http://171.105.180.74:4022/udp/239.81.0.124:4056
广西IPTV13,http://171.105.180.74:4022/udp/239.81.0.125:4056
IPTV自然传奇,http://171.105.180.74:4022/udp/239.81.0.18:4056
IPTV法治,http://171.105.180.74:4022/udp/239.81.0.20:4056
IPTV相声小品,http://171.105.180.74:4022/udp/239.81.0.17:4056
IPTV谍战剧场,http://171.105.180.74:4022/udp/239.81.0.15:4056
IPTV3＋综艺,http://171.105.180.74:4022/udp/239.81.0.66:4056
IPTV5＋体育,http://171.105.180.74:4022/udp/239.81.0.12:4056
IPTV6＋电影,http://171.105.180.74:4022/udp/239.81.0.65:4056
IPTV8＋电视剧,http://171.105.180.74:4022/udp/239.81.0.67:4056
CCTV4K,http://171.105.180.74:4022/udp/239.81.0.69:4056
CCTV4K,http://171.105.180.74:4022/udp/239.81.0.71:4056
IPTV足球,http://171.105.180.74:4022/udp/239.81.0.97:4056
先锋乒羽,http://171.105.180.74:4022/udp/239.81.0.236:4056
极速汽车,http://171.105.180.74:4022/udp/239.81.0.73:4056
网络棋牌,http://171.105.180.74:4022/udp/239.81.0.237:4056
游戏风云,http://171.105.180.74:4022/udp/239.81.0.72:4056
电竞游戏1,http://171.105.180.74:4022/udp/239.81.0.203:4056
电竞游戏2,http://171.105.180.74:4022/udp/239.81.0.201:4056
收视指南,http://171.105.180.74:4022/udp/239.81.0.86:4056
中国天气,http://171.105.180.74:4022/udp/239.81.0.63:4056
聚鲨环球精选,http://171.105.180.74:4022/udp/239.81.0.98:4056
央广购物,http://171.105.180.74:4022/udp/239.81.0.131:4056
优购物,http://171.105.180.74:4022/udp/239.81.0.132:4056
